CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A ABRIL 2025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
N°,CODIGO SIO DNI NUM,DEPARTAMENTO,PROVINCIA,DISTRITO,OFICINAS REGIONALES/U.O.,TIPO DE LOCAL,SIGLA TIPO DE LOCAL,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO,NOMBRE DE LA VIA,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC", ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,
273,600,CUSCO,CUSCO,SANTIAGO,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA BELEMPAMPA (MINSA),08:45 a 13:00,Plazoleta Belen S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO,
274,8,LIMA,LIMA ,JESÚS MARÍA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS (ESSALUD),08:45 a 16:30,Avenida SALAVERRY CDRA. 13 - PUERTA 6,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
275,11,CALLAO,CALLAO,CALLAO,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA NAC. DANIEL A. CARRIÓN (MINSA),08:45 a 16:30,Avenida Guardia Chalaca Nº 2176 - Bellavista,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
276,12,LIMA,LIMA,SAN JUAN DE LURIGANCHO,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL SAN JUAN DE LURIGANCHO (MINSA),08:45 a 16:30,Avenida Canto Grande S/N - Altura del paradero 10,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
277,14,LIMA,LIMA,EL AGUSTINO,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL NACIONAL HIPOLITO UNANUE (MINSA),08:45 a 16:30,Avenida Cesar Vallejo Nº 1390 ,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
278,51,LIMA,LIMA,LIMA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA INSTITUTO NACIONAL MATERNO PERINATAL (MINSA),08:45 a 16:30,Jirón Miroquesada Nº 941 - Lima,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
279,58,CALLAO,CALLAO,VENTANILLA,10.- LIMA,OFICINA REGISTRAL,OR,OR VENTANILLA,08:45 a 16:45,Avenida Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 ,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
280,114,LIMA,LIMA,SANTIAGO DE SURCO,10.- LIMA,OFICINA REGISTRAL,OR,OR SURCO - HIGUERETA,08:45 a 16:45,Avenida Santiago de Surco Nº 2807 Urb. Residencial Higuereta,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
281,168,LIMA,LIMA,SAN BORJA,10.- LIMA,OFICINA REGISTRAL,OR,OR SAN BORJA,08:45 a 16:45,Avenida San Luis N° 1673 Urb. Jacaranda II,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
282,169,LIMA,LIMA,COMAS,10.- LIMA,OFICINA REGISTRAL,OR,OR COMAS III,08:45 a 16:45,Avenida San Felipe Nº 830 Urb. San Felipe,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
283,174,LIMA,LIMA,LIMA,10.- LIMA,OFICINA REGISTRAL,OR,OR QUILCA,08:45 a 16:45,Jirón Quilca Nº 501 y 525 ,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
284,175,LIMA,LIMA,LIMA,10.- LIMA,AGENCIA,AG,AG ANCASH,08:45 a 16:45,Jirón Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
285,187,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA DANIEL ALCIDES CARRION (MINSA),08:45 a 16:30,Avenida Pachacutec N° 3470 - Pasando el Terminal Pesquero.,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
286,335,CALLAO,CALLAO,BELLAVISTA,10.- LIMA,MEJOR ATENCION AL CIUDADANO,MAC,MAC - CALLAO,08:30 a 16:30,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
287,371,LIMA,LIMA,LIMA,10.- LIMA,OFICINA REGISTRAL,OR,OR LIMA,08:45 a 16:45,Jirón Nicolás de Piérola N 545,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
288,372,LIMA,LIMA,ATE,10.- LIMA,OFICINA REGISTRAL (DESCENTRALIZADA),OR,OR ATE - Complejo Deportivo Ollantaytambo,08:45 a 16:45,Av. Alfonso Ugarte s/n  Complejo Deportivo Ollantaytambo,OPERATIVO,SI,NO,SI,SI,NO,NO,NO,NO,SI,
289,372,LIMA,LIMA,ATE,10.- LIMA,OFICINA REGISTRAL (DESCENTRALIZADA),OR,OR ATE - Mac Express de Puruchuco,08:45 a 13:00 - 14:00 a 16:45 ,Av. Javier Pardo Este N° 8680  Mac Express - Agencia Municipal Real Plaza de Puruchuco.,OPERATIVO,NO,SI,NO,NO,SI,SI,SI,SI,SI,
290,376,LIMA,LIMA,COMAS,10.- LIMA,OFICINA REGISTRAL,OR,OR COMAS I,08:45 a 16:45,"Avenida Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa",OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
291,379,LIMA,LIMA,LURIN,10.- LIMA,OFICINA REGISTRAL,OR,OR LURIN,08:45 a 16:45,"MZ B, Lote 5 Asociación de Vivienda Familiar Centinela - Lurin",OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
292,380,LIMA,LIMA,MIRAFLORES,10.- LIMA,OFICINA REGISTRAL,OR,OR MIRAFLORES,08:45 a 16:45,Avenida Ernesto Diez Canseco N° 230,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
293,382,LIMA,LIMA,PUENTE PIEDRA,10.- LIMA,OFICINA REGISTRAL,OR,OR PUENTE PIEDRA,08:45 a 16:45,Jirón Ricardo Palma Nº 241,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
294,386,LIMA,LIMA,SAN JUAN DE LURIGANCHO,10.- LIMA,OFICINA REGISTRAL,OR,OR SAN JUAN DE LURIGANCHO,08:45 a 16:45,Avenida Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
295,387,LIMA,LIMA,SAN JUAN DE MIRAFLORES,10.- LIMA,OFICINA REGISTRAL,OR,OR SAN JUAN DE MIRAFLORES,08:45 a 16:45,Avenida Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
296,389,LIMA,LIMA,SAN MARTÍN DE PORRES,10.- LIMA,OFICINA REGISTRAL,OR,OR SAN MARTIN DE PORRES,08:45 a 16:45,Avenida Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
297,391,LIMA,CAJATAMBO,CAJATAMBO,10.- LIMA,AGENCIA,AG,AG CAJATAMBO,08:45 a 16:45,Jirón Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
298,392,LIMA,CANTA,CANTA,10.- LIMA,AGENCIA,AG,AG CANTA,08:45 a 16:45,Jirón Independencia Nº 308 Municipio (Plaza de Armas),OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
299,393,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,10.- LIMA,AGENCIA,AG,AG CAÑETE,08:45 a 16:45,Avenida Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
300,394,LIMA,HUAURA,HUACHO,10.- LIMA,AGENCIA,AG,AG HUACHO,08:45 a 16:45,Avenida Grau Nº 295,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
301,395,LIMA,HUAROCHIRI,MATUCANA,10.- LIMA,AGENCIA,AG,AG MATUCANA,08:45 a 16:45,Jirón Tacna S/N  - Centro Civico,OPERATIVO,SI,NO,SI,SI,SI,NO,NO,NO,NO,
302,396,LIMA,YAUYOS,YAUYOS,10.- LIMA,AGENCIA,AG,AG YAUYOS,08:45 a 16:45,Plaza Plaza Constitución Nº 110,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
303,397,LIMA,HUARAL,HUARAL,10.- LIMA,AGENCIA,AG,AG HUARAL,08:45 a 16:45,Pasaje el Palmo esquina con Calle Huaquilla (DEMUNA HUARAL),OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
304,398,LIMA,BARRANCA,BARRANCA,10.- LIMA,OFICINA REGISTRAL,OR,OR BARRANCA,08:45 a 16:45,Avenida Independencia N° 674 - 676 - 678,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
305,399,LIMA,OYON,OYON,10.- LIMA,AGENCIA,AG,AG OYON,08:45 a 16:45,Jirón Unión 216,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
306,401,LIMA,LIMA,LURIGANCHO,10.- LIMA,OFICINA REGISTRAL,OR,OR CHOSICA,08:45 a 16:45,Jirón Chucuito Nº 248 ,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
307,404,LIMA,LIMA,PACHACAMAC,10.- LIMA,OFICINA REGISTRAL,OR,OR PACHACAMAC,08:45 a 16:45,Avenida Paul Poblet N° 3111 - Dentro del Mercado Jumbo,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
308,405,LIMA,LIMA,JESÚS MARÍA,10.- LIMA,OFICINA REGISTRAL,OR,OR JESUS MARIA,08:45 a 16:45,Jirón Talara N° 130-132-134 y 136 Jesús Maria,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
309,421,LIMA,LIMA,CIENEGUILLA,10.- LIMA,OFICINA REGISTRAL,OR,OR CIENEGUILLA,08:45 a 16:45,"Avenida San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo",OPERATIVO,NO,SI,NO,NO,SI,SI,SI,SI,SI,
310,423,LIMA,LIMA,SANTA ANITA,10.- LIMA,OFICINA REGISTRAL,OR,OR SANTA ANITA,08:45 a 16:45,"Avenida Los Eucaliptos Nº 947, Urbanización Universal",OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
311,430,LIMA,LIMA,INDEPENDENCIA,10.- LIMA,OFICINA REGISTRAL,OR,OR INDEPENDENCIA,08:45 a 16:45,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
312,544,CALLAO,CALLAO,VENTANILLA,10.- LIMA,MEJOR ATENCION AL CIUDADANO,MAC,MAC - VENTANILLA,08:30 a 16:30,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
313,550,LIMA,LIMA,JESÚS MARÍA,10.- LIMA,AGENCIA,AG,AG 06 DE AGOSTO,08:45 a 16:45,Avenida 06 de Agosto N° 856,OPERATIVO,NO,NO,NO,NO,SI,NO,SI,SI,NO,
314,574,CALLAO,CALLAO,MI PERÚ,10.- LIMA,PUNTO DE ATENCION PERMANENTE,PAP,PAP MI PERU,08:45 a 16:45, Mz. G7 Lt. 06 Mi Perú  interior de la Sede Municipal.,OPERATIVO,SI,NO,SI,SI,SI,NO,NO,NO,NO,
315,577,LIMA,LIMA,SAN MARTÍN DE PORRES,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA NACIONAL CAYETANO HEREDIA (MINSA),08:45 a 16:30,Jirón Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
316,640,LIMA,HUAURA,HUACHO,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL GENERAL DE HUACHO (MINSA),08:45 a 16:30,Avenida Jose Arnaldo Arambulo La Rosa N° 251,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
317,661,CALLAO,CALLAO,CALLAO,10.- LIMA,OFICINA REGISTRAL,OR,OR CALLAO,08:45 a 16:45,Avenida Dos de Mayo N° 440 - 446,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
318,696,LIMA,LIMA,SAN BORJA,10.- LIMA,AGENCIA,AG,AG ATENCIONES ESPECIALES DE SAN BORJA,08:45 a 16:45,Avenida Javier Prado N° 2388 -2386 - 2392,OPERATIVO,SI,SI,SI,SI,SI,NO,NO,NO,SI,
319,717,LIMA,LIMA,EL AGUSTINO,10.- LIMA,MEJOR ATENCION AL CIUDADANO,MAC,MAC - LIMA ESTE,08:30 a 16:30,Avenida Carretera Central 111 Mall Aventura Santa Anita Nivel 2,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,NO,SI,
320,729,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL SAN JOSE (MINSA),08:45 a 16:30,Jirón Las Magnolias 475 Carmen de la Legua-Reynoso,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
321,730,CALLAO,CALLAO,VENTANILLA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE VENTANILLA (MINSA),08:45 a 16:30,Avenida Pedro Beltran S/N Ventanilla - Hospital de Ventanilla,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
322,739,LIMA,CAÑETE,SAN LUIS,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL REZOLA (MINSA),08:45 a 16:30,Calle Distrito de San Luis S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
323,740,LIMA,BARRANCA,BARRANCA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE BARRANCA (MINSA),08:45 a 16:30,Avenida Nicolás de Piérola Nº 210 -224,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
324,753,LIMA,HUARAL,HUARAL,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL SAN JUAN BAUTISTA HUARAL (MINSA),08:45 a 16:30,Calle Tacna Nº 120 Urb. San Juan I,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
325,754,LIMA,LIMA ,COMAS,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL NACIONAL SERGIO E. BERNALES (MINSA),08:45 a 16:30,"Avenida Túpac Amaru N° 8000, Collique, Comas.",OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
326,755,LIMA,LIMA,LIMA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA NACIONAL DOS DE MAYO (MINSA),08:45 a 16:30,Avenida Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
327,757,LIMA,LIMA,ATE ,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE HUAYCAN (MINSA),08:45 a 16:30,Avenida José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
328,796,LIMA,LIMA,SAN JUAN DE MIRAFLORES,10.- LIMA,MEJOR ATENCION AL CIUDADANO,MAC,MAC - LIMA SUR,08:30 a 16:30,Avenida Circunvalación 1583- San Juan de Miraflores,OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,SI,
329,808,LIMA,LIMA,COMAS,10.- LIMA,MEJOR ATENCION AL CIUDADANO,MAC,MAC - LIMA NORTE,08:30 a 16:30,Avenida Los Angeles N° 602 2do piso - Cc Mall Plaza ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
330,490 /600013,LIMA,LIMA,JESUS MARIA,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - JESUS MARIA (2.0 y 3.0),08:45 a 16:45,Jirón Talara N° 130,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
331,478,LIMA,LIMA,SANTIAGO DE SURCO,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - JOCKEY PLAZA (2.0),08:45 a 16:45,Avenida Javier Prado Este N° 4200 ( Centro Financiero del Centro Comercial),OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
332,499,LIMA,LIMA,SURQUILLO,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - OPEN PLAZA ANGAMOS (2.0),08:45 a 16:45,Avenida Cruce Angamos N° 1805 con Tomas Marsano,OPERATIVO PARCIAL,NO,NO,NO,NO,NO,NO,SI,NO,NO,
333,493,LIMA,LIMA,CHORRILLOS,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - PLAZA LIMA SUR (2.0),08:45 a 16:45, Prolongación Paseo  de la Republica S/N Urb. Matellini (2do nivel del Centro Comercial) ,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
334,724,CALLAO,CALLAO,VENTANILLA,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - VENTANILLA (2.0),08:45 a 16:45,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
335,494,CALLAO,CALLAO,BELLAVISTA,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - MALL AVENTURA PLAZA - CALLAO (2.0),08:45 a 16:45,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,INOPERATIVA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
336,547/600011,LIMA,LIMA,MIRAFLORES,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - MIRAFLORES (2.0 y 3.0),08:45 a 16:45,Avenida Diez Canseco N° 230,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
337,775/600023,LIMA,LIMA,INDEPENDENCIA,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - INDEPENDENCIA (2.0 y 3.0),08:45 a 16:45,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
338,489,LIMA,LIMA,LURIN,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - OR LURIN (2.0),08:45 a 16:45,Mz. B Lote 5 Asociación de Vivienda Centinela (detrás del polideportivo),OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
339,17,LIMA,LIMA,SANTA ANITA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSP. JORGE VOTO BERNALES (ESSALUD),08:45 a 16:30,"Carretera CARRETERA CENTRAL KM. 3,5 - SANTA ANITA",OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
340,186,LIMA,LIMA,CERCADO DE LIMA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,HOSP. NAC DOC MADRE Y NIÑO  SAN BARTOLOME (MINSA),08:45 a 16:30,Avenida ALFONSO UGARTE 825 - LIMA,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
341,183,LIMA,LIMA,CHORRILLOS,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,CMI VIRGEN DEL CARMEN  (MINSA),08:45 a 16:30,Avenida LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES,OPERATIVO PARCIAL,SI,NO,NO,SI,NO,SI,NO,NO,NO,
342,13,LIMA,LIMA,PUENTE PIEDRA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL PUENTE PIEDRA (MINSA),08:45 a 16:30,Avenida SAENZ PEÑA S/N KM 30,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
343,492,LIMA,LIMA,SAN JUAN DE LURIGANCHO,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - SAN JUAN DE LURIGANCHO (2.0),08:45 a 16:45,Avenida Las Flores 260-262  Urb. San Rafael,OPERATIVO PARCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
344,40,ANCASH,OCROS,OCROS,10.- LIMA,AGENCIA,AG,AG OCROS,08:45 a 16:45, Plaza de Armas S/N (MUNICIPIO),OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
345,1183,LIMA,HUARAL,CHANCAY,10.- LIMA,AGENCIA,AG,AG CHANCAY,08:45 a 16:45,Avenida 1ro de mayo s/n cdra 03,OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO,
346,9,LIMA,LIMA,PUEBLO LIBRE,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL SANTA ROSA,08:45 a 16:30,Avenida Bolivar Crda. 8 Pueblo Libre ,OPERATIVO,SI,NO,NO,SI,NO,SI,NO,NO,NO,
347,769,LIMA,LIMA,INDEPENDENCIA,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA  CMI TAHUANTINSUYO BAJO,08:45 a 16:30,Avenida Chinchaysullo cdra 4 Independencia,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
348,114,LIMA,LIMA,SURQUILLO,10.- LIMA,AGENCIA,AG,AG. INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,08:45 a 16:45,Av. Angamos Este 2520 - Surquillo (puerta emergencia del INEN),OPERATIVO PARCIAL,SI,NO,SI,SI,NO,NO,NO,NO,NO,
349,491,LIMA,LIMA,SAN MARTIN DE PORRES,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - OR SAN MARTIN DE PORRES (2.0 y 3.0),08:45 a 16:45,Av. Eduardo de Habich 592,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
350,600003,LIMA,LIMA,SAN JUAN DE MIRAFLORES,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - MALL  LIMA SUR (3.0),08:45 a 16:45,"Av. Los Lirios s/n, altura de  puente Atocongo",OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
351,600006,LIMA,LIMA,COMAS,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - OR COMAS I (3.0),08:45 a 16:45,"Av. Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa",OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
352,600012,LIMA,LIMA,SAN BORJA,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - OR SAN BORJA (3.0),08:45 a 16:45,Av. San Luis N° 1673 Urb. Jacaranda II,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
353,600002,LIMA,LIMA,LIMA- CERCADO,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - OR LIMA (3.0),08:45 a 16:45,Av. Nicolas de Pierola 545,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
354,600005,LIMA,LIMA,LIMA - CERCADO,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - AGENCIA ANCASH (3.0),08:45 a 16:45,Jr. Ancash 336-340 Cercado,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
355,600009,LIMA,BARRANCA,BARRANCA,10.- LIMA,PLATAFORMA VIRTUAL MULTISERVICIOS,PVM,PVM - OR BARRANCA (3.0),08:45 a 16:45,Av. Prolongacion Independencia 250,OPERATIVO,NO,NO,NO,NO,NO,NO,SI,NO,NO,
356,758,LIMA,LIMA,VILLA EL SALVADOR,10.- LIMA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL EMERGENCIA VILLA EL SALVADOR,08:45 a 16:30,Avenida  Pastor Sevilla cruce Av. 200 millas VES,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
357,19,PUNO,PUNO,PUNO,11.- PUNO,OFICINA REGISTRAL AUXILIAR,ORA,ORA MANUEL NUÑEZ BUTRON,08:45 a 16:45,El Sol N° 1022,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO
358,89,PUNO,PUNO,PUNO,11.- PUNO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO,08:45 a 16:45,Francisco Cáceres Jara Nº 600,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO
359,90,PUNO,SAN ROMAN,JULIACA,11.- PUNO,OFICINA REGISTRAL AUXILIAR,ORA,ORA CARLOS MONGE MEDRANO,08:45 a 16:45,Carretera a Huancane Km 2,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO
360,108,PUNO,EL COLLAO ,ILAVE ,11.- PUNO,OFICINA REGISTRAL AUXILIAR,ORA,ORA ILAVE,08:45 a 16:45,Atahualpa Nº 825,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO
361,118,PUNO,SAN ROMAN,JULIACA,11.- PUNO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA,08:45 a 16:45,José Santos Chocano S/N - La Capilla,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO
362,551,PUNO,PUNO,PUNO,11.- PUNO,OFICINA REGISTRAL,OR,OR PUNO,08:45 a 16:45,Arequipa N° 1143 - 1145 Barrio Victoria,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
363,552,PUNO,AZANGARO,AZANGARO,11.- PUNO,PUNTO DE ATENCION PERMANENTE,PAP,PAP AZANGARO,08:45 a 16:45,Azangaro N° 160  (Palacio Municipal),OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO,SI
364,553,PUNO,CARABAYA,MACUSANI,11.- PUNO,PUNTO DE ATENCION PERMANENTE,PAP,PAP CARABAYA,08:45 a 16:45,Raimondi N° 116,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,SI
